Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
AlexNet,512,32,2,2246.0
AlexNet,512,32,2,2374.0
ResNet-50,512,32,2,1080.3333333333333
ResNet-50,512,32,2,1115.0
ResNet-101,512,32,2,803.3333333333334
ResNet-101,512,32,2,840.6666666666666
VGG-16,512,32,2,853.3333333333334
VGG-16,512,32,2,890.3333333333334
Inception-V3,512,32,2,700.0
Inception-V3,512,32,2,739.6666666666666
LeNet,512,32,2,4057.0
LeNet,512,32,2,4121.666666666667
AlexNet,256,32,2,2225.6666666666665
AlexNet,256,32,2,2751.3333333333335
ResNet-50,256,32,2,1084.0
ResNet-50,256,32,2,1152.0
ResNet-101,256,32,2,789.0
ResNet-101,256,32,2,823.3333333333334
VGG-16,256,32,2,822.3333333333334
VGG-16,256,32,2,877.3333333333334
Inception-V3,256,32,2,715.0
Inception-V3,256,32,2,671.6666666666666
LeNet,256,32,2,3885.6666666666665
LeNet,256,32,2,4249.666666666667
AlexNet,128,32,2,2600.0
AlexNet,128,32,2,3054.0
ResNet-50,128,32,2,1140.6666666666667
ResNet-50,128,32,2,1213.3333333333333
ResNet-101,128,32,2,765.0
ResNet-101,128,32,2,802.0
VGG-16,128,32,2,813.3333333333334
VGG-16,128,32,2,871.6666666666666
Inception-V3,128,32,2,710.0
Inception-V3,128,32,2,760.6666666666666
LeNet,128,32,2,4294.666666666667
LeNet,128,32,2,4734.0
AlexNet,64,32,2,2400.3333333333335
AlexNet,64,32,2,2503.0
ResNet-50,64,32,2,1083.6666666666667
ResNet-50,64,32,2,1110.6666666666667
ResNet-101,64,32,2,659.3333333333334
ResNet-101,64,32,2,668.0
VGG-16,64,32,2,727.3333333333334
VGG-16,64,32,2,727.3333333333334
Inception-V3,64,32,2,602.3333333333334
Inception-V3,64,32,2,622.6666666666666
LeNet,64,32,2,4221.666666666667
LeNet,64,32,2,4498.0
AlexNet,32,32,2,1823.6666666666667
AlexNet,32,32,2,1853.3333333333333
ResNet-50,32,32,2,725.6666666666666
ResNet-50,32,32,2,741.6666666666666
ResNet-101,32,32,2,415.3333333333333
ResNet-101,32,32,2,412.3333333333333
VGG-16,32,32,2,584.0
VGG-16,32,32,2,584.6666666666666
Inception-V3,32,32,2,407.6666666666667
Inception-V3,32,32,2,405.6666666666667
LeNet,32,32,2,3864.3333333333335
LeNet,32,32,2,4524.333333333333
AlexNet,16,32,2,1158.6666666666667
AlexNet,16,32,2,1154.6666666666667
ResNet-50,16,32,2,382.0
ResNet-50,16,32,2,390.3333333333333
ResNet-101,16,32,2,215.66666666666666
ResNet-101,16,32,2,213.33333333333334
VGG-16,16,32,2,403.3333333333333
VGG-16,16,32,2,404.6666666666667
Inception-V3,16,32,2,216.33333333333334
Inception-V3,16,32,2,214.33333333333334
LeNet,16,32,2,3187.0
LeNet,16,32,2,3327.0
AlexNet,8,32,2,655.6666666666666
AlexNet,8,32,2,655.3333333333334
ResNet-50,8,32,2,208.66666666666666
ResNet-50,8,32,2,206.33333333333334
ResNet-101,8,32,2,113.33333333333333
ResNet-101,8,32,2,110.0
VGG-16,8,32,2,251.66666666666666
VGG-16,8,32,2,251.66666666666666
